id,bucket,file_origine,data_documento,fornitore,descrizione,categoria_db,categoria_runtime,prezzo_unitario,totale_riga,quantita,tipo_documento,needs_review
119574,sconto_omaggio,IT0526289001426084_I9889.xml,2026-03-20,PERFETTI VAN MELLE S.P.A,"ACQUA VERA NAT. PET 24X0,5LT",ACQUA,ACQUA,0.0,0.0,11.0,TD01,False
119367,sconto_omaggio,IT06628860964_g7nlE.xml,2026-03-10,ANDREA MALFITANO,DISTRIBUTORE BIEPI ATHENA 4 IN USO E PRESTITO,MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,0.0,0.0,1.0,TD24,True
114588,storno,IT00631300985_040E8.xml,2026-01-09,AZIENDA AGRICOLA CA' DEI FRATI DI DAL CERO PIETRO E FIGLI SOCIETA' AGRICOLA,SCONTI FINALI - 5.00%,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-38.25,-38.25,1.0,TD24,True
119441,sconto_omaggio,IT12281740154Z0002_LCQCE.xml,2026-03-31,FABRIZIO CARUSO,NOLEGGIO MERCE MANCANTE,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,0.0,0.0,1.0,TD01,True
117443,storno,IT12737550967_HV54E.xml.p7m,2026-03-07,MAIEN S.R.L,DIMSUM CALAMARO CONGELATI,PASTA E CEREALI,PASTA E CEREALI,-0.27,-499.5,1850.0,TD04,False
117453,storno,IT12883420155_A68Hw.xml,2026-03-16,A2A ENERGIA SPA,ARROTONDAMENTO ATTUALE,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-0.53,-0.53,1.0,TD01,False
114299,storno,IT03237470236_ejyew.xml,2026-02-11,PARTESA S.R.L,PREMIO POSTICIPATO FINE PERIODO RIFERIMENTO: 4000305690 VALIDIT: 01.01.2026 - 31.01.2026,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-869.56,-869.56,1.0,TD04,False
114300,storno,IT03237470236_ejyew.xml,2026-02-11,PARTESA S.R.L,RIVALSA BOLLO N.C,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-2.0,-2.0,1.0,TD04,False
114301,storno,IT03237470236_enODY.xml,2026-02-18,PARTESA S.R.L,ROENO MULLER THURGAU DOC 75 CL,VINI,VINI,-54.29,-54.29,1.0,TD04,False
117459,storno,IT12883420155_AEH0p.xml,2026-03-18,A2A ENERGIA SPA,ARROTONDAMENTO ATTUALE,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-0.95,-0.95,1.0,TD01,False
114371,storno,IT03237470236_euWGX.xml,2026-02-28,PARTESA S.R.L,ACCREDITO CAUZIONI,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-1503.0,-1503.0,1.0,TD24,False
117471,storno,IT016417907022026y_02zky.xml,2026-03-09,VAV SRL,SCONTO MERCE,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-41.4,-41.4,1.0,TD01,False
117474,storno,IT016417907022026y_02zky.xml,2026-03-09,VAV SRL,SCONTO MERCE,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-25.2,-25.2,1.0,TD01,False
114704,storno,IT06655971007_orXPw.xml.p7m,2026-02-10,ENEL ENERGIA S.P.A,SPESA PER LA VENDITA DI GAS NATURALE - ALTRI IMPORTI MATERIA GAS - QUOTA FISSA - SCONTO BOLLETTA DIG,UTENZE E LOCALI,UTENZE E LOCALI,-2.0,-2.0,1.0,TD01,False
114707,storno,IT06655971007_orXPw.xml.p7m,2026-02-10,ENEL ENERGIA S.P.A,SPESA PER GLI ONERI GENERALI DI SISTEMA - QUOTA FISSA - QUOTA FISSA,UTENZE E LOCALI,UTENZE E LOCALI,-3.6,-3.6,1.0,TD01,False
114698,sconto_omaggio,IT06628860964_fZhuG.xml.p7m,2026-02-10,BEST FOOD SRL,M TRIS CTX 12 PZ - MONOPORZIONE TRIS DI CIOCCOLATI CTX 12 PZ,GELATI E DESSERT,GELATI E DESSERT,34.8,0.0,1.0,TD01,False
117477,storno,IT016417907022026y_02zky.xml,2026-03-09,VAV SRL,SCONTO MERCE,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-47.4,-47.4,1.0,TD01,False
114674,storno,IT04157540966_ipa9l.xml,2026-02-26,METRO ITALIA S.P.A,G500 GNOCCO DA FRIGGERE 18PZ,PASTA E CEREALI,PASTA E CEREALI,-3.73,-7.46,2.0,TD04,False
114729,storno,IT12883420155_8P9Nr.xml,2026-02-13,A2A ENERGIA SPA,ARROTONDAMENTO ATTUALE,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-0.58,-0.58,1.0,TD01,False
114739,storno,IT12883420155_9CM5n.xml,2026-02-23,A2A ENERGIA SPA,ARROTONDAMENTO ATTUALE,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-0.62,-0.62,1.0,TD01,False
114748,dicitura,IT016417907022026b_01Qvp.xml,2026-02-12,INNOVA & CO SRL,DDT N. 56 DEL 03/02/2026,📝 NOTE E DICITURE,📝 NOTE E DICITURE,0.0,0.0,1.0,TD01,True
114754,storno,IT016417907022026F_01wY8.xml,2026-02-12,VAV SRL,SCONTO MERCE,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-25.2,-25.2,1.0,TD01,False
114757,storno,IT016417907022026F_01wY8.xml,2026-02-12,VAV SRL,SCONTO MERCE,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-41.4,-41.4,1.0,TD01,False
114760,storno,IT016417907022026F_01wY8.xml,2026-02-12,VAV SRL,SCONTO MERCE,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-53.4,-53.4,1.0,TD01,False
